Time,Operator,Technology,MCC / MNC,gNB,RF Band,Num Beams,SCS,Bandwidth DL,Bandwidth UL,TDD Slot Pattern,SS-RSRP​ (PCell),SS-RSRQ​ (PCell),SS-SINR​ (PCell),PCI / SSB​ (PCell),UE connectivity mode,BLER,Average RBs,Average MCS Index,Average Code Rate,Net PDSCH Thp​ (PCell),Num PUSCH Carrier,Num PDSCH Carrier,Retransmission,Average RBs,Average MCS Index,Net PUSCH Thp,PUSCH TxPower,PUSCH Pathloss,RSRP​ (PCell),RSRQ​ (PCell),RSSI​ (PCell),PCI​ (PCell),Bandwidth​ (PCell),eNB,RF Band​ (PCell),BLER​ (PCell),Avg RB count​ (PCell),MCS Index​ (PCell),PUSCH Thrpt​ (PCell),PDSCH Thrpt​ (PCell),Retransmission Rate​ (PCell),TxPower​ (PCell),Lat,Long,Sats used,Accuracy,IP Thrpt UL,IP Thrpt DL,SINR Rx[0]​ (PCell),Level
2025-02-03 16:45:31.659,TUNI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-03 16:45:31.659,TUNI,LTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-03 16:45:31.659,TUNI,LTE,244 / 38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-03 16:45:31.659,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-03 16:45:31.659,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-03 16:45:31.659,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-03 16:45:31.659,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,,,,,,,,,,,,,,,,,,,,,,46,,440,Band 1 - 2100,,,,,,,,,,,,,,,
2025-02-03 16:45:31.659,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,,,,,,,,,,,,,,,,,,,-77.6,-6.5,-57.2,46,,440,Band 1 - 2100,,,,,,,,,,,,,,17.7,
2025-02-03 16:45:35.879,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,,,,,,,,,,,,1,,,,,,,-77.6,-6.5,-57.2,46,,440,Band 1 - 2100,,,,,,,,,,,,,,17.7,
2025-02-03 16:45:35.879,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,,,,,,0.0,,,,0.0,,1,,,,,,,-77.6,-6.5,-57.2,46,,440,Band 1 - 2100,,,,,,,,,,,,,,17.7,
2025-02-03 16:45:35.925,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,,,,,,0.0,,,,0.0,,1,,,,,,,-77.6,-6.5,-57.2,46,,440,Band 1 - 2100,,,,0.004,,0.0,12.0,,,,,,,17.7,
2025-02-03 16:45:36.170,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,,,,,,0.0,,,,0.0,,1,,,,,,,-80.3,-6.4,-59.8,46,,440,Band 1 - 2100,,,,0.004,,0.0,12.0,,,,,,,15.8,
2025-02-03 16:45:36.346,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,,,,,,0.0,,,,0.0,,1,,,,,,,-80.3,-6.4,-59.8,46,,440,Band 1 - 2100,0.0,2,0.0,0.004,0.0,0.0,12.0,,,,,,,15.8,
2025-02-03 16:45:36.400,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,,,,,,0.0,,,,0.0,,1,,,,,,,-80.3,-6.4,-59.8,46,,440,Band 1 - 2100,,2,,0.004,0.0,0.0,12.0,,,,,,,15.8,
2025-02-03 16:45:36.426,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-69.0,-10.5,13.5,53/0,,0.0,,,,0.0,,1,,,,,,,-80.3,-6.4,-59.8,46,,440,Band 1 - 2100,,2,,0.004,0.0,0.0,12.0,,,,,,,15.8,
2025-02-03 16:45:36.436,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-69.0,-10.5,13.5,53/0,,0.0,,,,0.0,1,1,,,,,,,-80.3,-6.4,-59.8,46,,440,Band 1 - 2100,,2,,0.004,0.0,0.0,12.0,,,,,,,15.8,
2025-02-03 16:45:36.436,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-69.0,-10.5,13.5,53/0,,0.0,,,,0.0,1,1,0.0,3,20.1,0.325,1.8,73.4,-80.3,-6.4,-59.8,46,,440,Band 1 - 2100,,2,,0.004,0.0,0.0,12.0,,,,,,,15.8,
